투수명,연도,K/9,BB/9,HR/9,FIP*,ERA*,RA9*,피OPS,타자OPS(연도평균),보정FIP,보정피안타,PAI(100)_optimized,시뮬_안타_opt,시뮬_아웃_opt,시뮬_피안타율_opt,사용가중치
가득염,2006,6.87,4.81,,86.39206002769006,60.68163218619406,67.64871961166021,,0.762,100.89205702303417,100.4093362337517,100.5720548318566,269,731,0.269,"FIP:0.34,피안타:0.66"
가득염,2007,4.71,3.14,,94.99515741327907,85.85367413265706,94.45220255881995,,0.777,107.38446928333799,103.90037142177624,105.07481331920584,260,740,0.26,"FIP:0.34,피안타:0.66"
가득염,2008,6.71,2.52,,76.94333516282518,65.67488980151683,60.072705629879046,,0.784,87.3131900068879,83.69363458176173,84.91373737744821,337,663,0.337,"FIP:0.34,피안타:0.66"
가득염,2009,3.38,5.62,,51.331012624953644,57.50025385795453,62.694340716276805,,0.877,63.365559228118876,110.83065370532145,94.8308173532812,341,659,0.341,"FIP:0.34,피안타:0.66"
가득염,2010,6.71,5.59,,85.49598812580213,86.62410063798907,84.4416625059455,,0.837,102.4073774292738,109.91251812942068,107.38263750189844,272,728,0.272,"FIP:0.34,피안타:0.66"
가르시아A,2000,5.54,3.26,,118.67136815992437,148.61580095760348,113.3508559013193,,0.865,126.18989370465971,117.61744521367112,120.50710074902433,270,730,0.27,"FIP:0.34,피안타:0.66"
가빌리오,2021,7.77,3.33,,107.24836642611533,73.62527085815758,79.58287993484223,,0.811,110.37522138610882,87.98034792067281,95.52935450157665,303,697,0.303,"FIP:0.34,피안타:0.66"
갈베스,2001,6.58,2.63,,137.98353927479468,197.16676502600237,167.08427086908694,,0.865,133.37873977899287,111.8055212578072,119.0775591569745,242,758,0.242,"FIP:0.34,피안타:0.66"
감병훈,1996,6.43,21.43,,18.916814628329668,12.165000757014882,13.710338068780855,,0.762,22.842596322929534,61.065231930025874,48.180902479234675,423,577,0.423,"FIP:0.34,피안타:0.66"
감병훈,1997,4.46,6.24,,84.0722118955417,54.68646493596086,53.29397325153041,,0.808,101.25030589500291,62.37658941553123,75.48038935352334,356,644,0.356,"FIP:0.34,피안타:0.66"
감사용,1982,1.55,3.18,,83.67223128966806,71.2882595707353,79.95008505592496,,0.765,70.26974764326303,79.13389952464166,76.14591475259394,328,672,0.328,"FIP:0.34,피안타:0.66"
감사용,1983,4.46,2.98,,87.90645973242972,95.23041908557379,77.94579216016388,,0.711,104.04614350067727,94.12928293556304,97.47212145543656,293,707,0.293,"FIP:0.34,피안타:0.66"
감사용,1985,5.08,2.39,,73.66474264425389,49.044101638511584,54.99589968142512,,0.74,80.96234958659258,77.89466181890658,78.92873754977246,369,631,0.369,"FIP:0.34,피안타:0.66"
강규성,1989,1.29,6.43,,47.39048649765303,78.10214716994614,87.83994684906348,,0.728,58.64320541670573,93.10634723533563,81.4892918950145,325,675,0.325,"FIP:0.34,피안타:0.66"
강규성,1990,4.13,6.65,,80.509662010094,75.9700926953017,83.29584819014595,,0.747,88.09555612678135,97.91554425178033,94.60536011100238,282,718,0.282,"FIP:0.34,피안타:0.66"
강길용,1991,3.91,5.04,,91.88704339352448,100.91267386283788,100.12863492259399,,0.766,80.56118793420801,93.24359010302443,88.96852520561264,289,711,0.289,"FIP:0.34,피안타:0.66"
강길용,1992,4.93,4.6,,92.21860521176211,97.74239702714787,94.16749138316203,,0.807,84.75505507240162,94.01805777313857,90.89562582661665,307,693,0.307,"FIP:0.34,피안타:0.66"
강길용,1993,4.03,5.03,,79.62746003090882,70.17705259212505,76.60328197171357,,0.713,73.88275572946937,94.0858074964489,87.27563413339524,329,671,0.329,"FIP:0.34,피안타:0.66"
강길용,1994,5.01,5.54,,76.99804814671973,77.17723330129073,66.32616268177603,,0.755,81.03766379799497,103.84793385434534,96.15890274491102,283,717,0.283,"FIP:0.34,피안타:0.66"
강길용,1995,5.39,2.2,,83.74110983104305,82.6470474879636,93.44649969751391,,0.75,94.37074917387346,113.69101486129571,107.17841665241265,253,747,0.253,"FIP:0.34,피안타:0.66"
강길용,1996,6.06,2.36,,115.07715303845187,105.67365937826492,108.2998128810941,,0.762,119.51405674445598,100.5296865603963,106.92905897368405,269,731,0.269,"FIP:0.34,피안타:0.66"
강길용,1997,5.71,4.08,,91.69230341881739,85.26557934745304,76.45307381330187,,0.808,96.86642122052375,92.48112098673356,93.9593459195609,305,695,0.305,"FIP:0.34,피안타:0.66"
강길용,1999,6.38,3.83,,60.54434909201892,28.604831009222544,28.767490670331856,,0.876,72.86785015889548,64.62184207486435,67.4014589987381,377,623,0.377,"FIP:0.34,피안타:0.66"
강대성,1990,1.64,4.91,,77.13691642909154,64.69084940432235,73.65113475659805,,0.747,93.88075069417607,100.96034505738797,98.57391029942869,266,734,0.266,"FIP:0.34,피안타:0.66"
강동연,2016,7.5,7.5,,50.75946927166447,50.87816747366636,48.685827797068654,,0.881,62.92639532667097,91.55326784172603,81.90353932951189,344,656,0.344,"FIP:0.34,피안타:0.66"
강동연,2018,4.02,4.02,,63.753892408752144,77.90618845076145,73.96665080761504,,0.905,78.58392361088832,118.78658044687437,105.23481282947387,293,707,0.293,"FIP:0.34,피안타:0.66"
강동연,2020,6.38,4.12,,80.38880086766795,68.57439055343623,70.73595564614325,,0.833,92.95960691448366,89.40471510833059,90.60302067949038,349,651,0.349,"FIP:0.34,피안타:0.66"
강동연,2021,5.48,5.48,,61.94973856107779,49.110499404109156,51.51199734337213,,0.811,71.6577852187537,93.48701525490733,86.1286793637347,332,668,0.332,"FIP:0.34,피안타:0.66"
강동연,2022,3.29,3.29,,46.07688341556141,32.14022163062287,35.99837291343333,,0.798,56.228213430829726,62.31915664198954,60.26598271109312,386,614,0.386,"FIP:0.34,피안타:0.66"
강동호,2017,5.69,3.5,,73.09521745770087,92.96198114859276,92.51609996708194,,0.888,81.62816604694787,100.22282640968362,93.95481986503351,313,687,0.313,"FIP:0.34,피안타:0.66"
강동호,2020,6.55,4.91,,54.55071449297013,53.788994879404115,58.94651407228466,,0.833,65.54815239029685,89.83356612216119,81.64728418737968,325,675,0.325,"FIP:0.34,피안타:0.66"
강리호,2009,8.89,7.88,,81.72997470810452,85.7991387307577,88.16163069308372,,0.877,82.76612257886771,118.06149968141443,106.16390917107572,267,733,0.267,"FIP:0.34,피안타:0.66"
강리호,2010,6.6,7.8,,60.167361155915366,53.0991816969624,53.74442055927713,,0.837,72.0450054876059,96.3726457170027,88.17212980549198,348,652,0.348,"FIP:0.34,피안타:0.66"
강리호,2011,4.71,4.71,,93.60469870121611,161.96406607934517,179.41436403275955,,0.815,111.08021037916794,119.6706215790946,116.77491105940786,252,748,0.252,"FIP:0.34,피안타:0.66"
강리호,2012,9.13,5.32,,89.63896407241116,97.59530776494817,104.16935777000437,,0.751,85.7722143357467,120.13284673609269,108.55034592337022,246,754,0.246,"FIP:0.34,피안타:0.66"
강리호,2013,9.07,5.19,,118.58722843682547,105.68763217106174,104.73411108342239,,0.825,110.82952518321808,108.81647287186938,109.49504536612925,258,742,0.258,"FIP:0.34,피안타:0.66"
강리호,2014,7.71,6.86,,49.649796881510156,62.753898969703464,57.145956377690744,,0.897,53.876432337420724,83.26333731041794,73.35741221662627,371,629,0.371,"FIP:0.34,피안타:0.66"
강리호,2017,8.47,3.99,,68.81015473725955,102.86563426792173,100.51605098537648,,0.888,74.8254779846459,103.99267965374342,94.16081354892282,307,693,0.307,"FIP:0.34,피안타:0.66"
강리호,2018,10.79,4.32,,89.60113791418394,78.38273728592267,76.74733941981809,,0.905,97.33192518648899,108.40313810011962,104.67118313852644,292,708,0.292,"FIP:0.34,피안타:0.66"
강리호,2019,7.86,3.85,,97.28941226044962,86.43964261053647,92.10167505242136,,0.785,104.94866268443495,97.55032900071336,100.04420643888398,274,726,0.274,"FIP:0.34,피안타:0.66"
강리호,2020,6.43,4.71,,74.20797396782845,59.90331389770875,65.64710018405333,,0.833,85.97235050349252,77.38795232495283,80.28163593709345,318,682,0.318,"FIP:0.34,피안타:0.66"
강리호,2021,8.44,7.88,,57.82337316769319,44.69784739192737,49.22475398082225,,0.811,68.16887303668392,74.37878525901417,72.28550849611759,336,664,0.336,"FIP:0.34,피안타:0.66"
강리호,2021,8.44,7.88,,57.82337316769319,44.69784739192737,49.22475398082225,,0.811,68.16887303668392,74.37878525901417,72.28550849611759,362,638,0.362,"FIP:0.34,피안타:0.66"
강리호,2022,11.52,2.56,,196.08644015669043,63.67499595478555,54.56113370893997,,0.798,228.50137556685627,88.78675212700439,135.88264723995357,211,789,0.211,"FIP:0.34,피안타:0.66"
강만식,1982,5.38,4.31,,117.13355344648575,102.04337076775224,96.5080441222048,,0.765,100.03399412684325,93.00888703888953,95.37695487907476,289,711,0.289,"FIP:0.34,피안타:0.66"
강만식,1983,4.88,2.11,,136.03195434776111,122.17890955466707,103.57174991729492,,0.711,131.90430369080906,103.26634145714863,112.91980816234079,231,769,0.231,"FIP:0.34,피안타:0.66"
강만식,1984,4.18,2.51,,101.27955628755059,110.9943184698227,106.58620780695351,,0.731,91.19076904847249,95.31387563444042,93.92403260633498,305,695,0.305,"FIP:0.34,피안타:0.66"
강만식,1985,2.86,2.0,,102.12858424784184,122.7583526329259,134.7047914248216,,0.74,88.38218319345549,101.16416497616024,96.8555331482754,289,711,0.289,"FIP:0.34,피안타:0.66"
강만식,1986,2.99,3.12,,83.76994460439256,70.62260056776475,75.52890957677766,,0.697,84.11941684720449,77.50932255807685,79.7374952408131,314,686,0.314,"FIP:0.34,피안타:0.66"
강만식,1987,1.29,3.54,,53.826801679985124,51.926400368839204,55.94284760778248,,0.734,60.12199004055606,97.79266343272737,85.094392920796,322,678,0.322,"FIP:0.34,피안타:0.66"
강만식,1989,3.24,3.24,,55.63727057695069,39.40882081829777,44.32232469270191,,0.728,66.3621895661712,73.0186779288986,70.77486643634901,330,670,0.33,"FIP:0.34,피안타:0.66"
강민기,1990,3.19,7.66,,36.26898187970871,40.090122934662425,39.56370254856748,,0.747,42.87158911588426,69.57716901441684,60.575082054112116,364,636,0.364,"FIP:0.34,피안타:0.66"
강민영,2000,8.71,4.6,,60.17827497283964,52.83324759539476,56.436662465198054,,0.865,66.57879143337404,85.34977106702031,79.02232969955247,361,639,0.361,"FIP:0.34,피안타:0.66"
강민영,2001,8.43,4.98,,83.13620668085446,68.31776612713033,71.58178824726468,,0.865,90.8250637348517,92.6217627926342,92.01612003104248,336,664,0.336,"FIP:0.34,피안타:0.66"
강봉수,1993,4.67,3.99,,100.41846732359038,161.67705015868506,156.0396663391769,,0.713,104.43795659307388,94.98852440662786,98.17379919156386,294,706,0.294,"FIP:0.34,피안타:0.66"
강봉수,1994,5.21,3.55,,103.6913777740224,125.22265691027457,86.51847743494815,,0.755,118.23634900447529,99.0535080323103,105.51978224291503,248,752,0.248,"FIP:0.34,피안타:0.66"
강봉수,1995,4.7,2.74,,92.58023784606499,53.30295923725434,56.5072874439332,,0.75,109.52040684052595,74.37540544402054,86.22230635362246,321,679,0.321,"FIP:0.34,피안타:0.66"
강봉수,1996,3.55,5.33,,46.93205704992732,53.38562218233277,60.16727353756409,,0.762,56.284123138938064,88.57497496817268,77.69016897281374,335,665,0.335,"FIP:0.34,피안타:0.66"
강봉수,1996,3.55,5.33,,46.93205704992732,53.38562218233277,60.16727353756409,,0.762,56.284123138938064,88.57497496817268,77.69016897281374,339,661,0.339,"FIP:0.34,피안타:0.66"
강병규-,1991,3.44,3.89,,87.17696701116293,138.35360977439902,116.520518589144,,0.766,93.80303413710371,93.15569852413209,93.3739065354396,307,693,0.307,"FIP:0.34,피안타:0.66"
강병규-,1992,4.42,3.35,,87.81237310623787,80.70533983911875,88.19210895913842,,0.807,92.7519834135024,85.98215776954676,88.26417371469904,332,668,0.332,"FIP:0.34,피안타:0.66"
강병규-,1993,4.53,2.33,,122.63375830258214,110.3450425000194,115.59294695292675,,0.713,117.23534698088109,97.85248079416635,104.38618077805413,280,720,0.28,"FIP:0.34,피안타:0.66"
강병규-,1994,4.73,2.88,,94.62080095296169,84.65124566861591,76.90159630120837,,0.755,97.54257915383626,82.11963347920472,87.31849823610585,317,683,0.317,"FIP:0.34,피안타:0.66"
강병규-,1995,4.36,3.4,,80.33884000392172,80.8676806381399,86.54639486327528,,0.75,79.87332855793014,86.87913392793477,84.51757243376865,327,673,0.327,"FIP:0.34,피안타:0.66"
강병규-,1996,4.08,3.34,,91.1130742487439,94.77887091381044,91.59161614001246,,0.762,88.44647104347723,91.77512774817082,90.65308294590463,298,702,0.298,"FIP:0.34,피안타:0.66"
강병규-,1997,4.72,3.23,,118.31199515098761,112.5362936167116,107.08110626327257,,0.808,117.69880189762763,91.54955743292889,100.36411130189092,272,728,0.272,"FIP:0.34,피안타:0.66"
강병규-,1998,4.97,2.69,,111.69054565472703,115.37595812924653,122.51925206391864,,0.792,106.262278375839,90.27226344705015,95.66227951981243,291,709,0.291,"FIP:0.34,피안타:0.66"
강병규-,1999,5.79,3.02,,107.74520593005087,101.4605910361065,100.0736523362687,,0.876,101.18593174636138,93.44414776667664,96.0537976180489,306,694,0.306,"FIP:0.34,피안타:0.66"
강병규-,2000,2.4,4.47,,52.97897168620175,47.634860538803295,52.423705036049896,,0.865,60.75801913234656,72.5792317552467,68.59446211489725,386,614,0.386,"FIP:0.34,피안타:0.66"
강상수,1994,6.08,2.9,,97.69626668654648,106.14809135182836,105.60127585686557,,0.755,96.40363543305726,90.53886383648637,92.51579839904785,313,687,0.313,"FIP:0.34,피안타:0.66"
강상수,1995,5.65,1.76,,122.3716445252863,112.60152794485055,109.9985692357247,,0.75,119.80929999322899,94.39955306356454,102.96483239354995,289,711,0.289,"FIP:0.34,피안타:0.66"
강상수,1996,5.31,2.6,,126.70365781759328,105.17698559436673,106.30284509500734,,0.762,111.4182213610945,87.9902911999043,95.88752711136146,288,712,0.288,"FIP:0.34,피안타:0.66"
강상수,1997,6.23,4.0,,107.69354178737349,81.2489071169515,80.74662512658685,,0.808,103.62648584456359,77.95550925378267,86.60884554171156,337,663,0.337,"FIP:0.34,피안타:0.66"
강상수,1998,6.89,3.49,,89.03128149166484,92.70475465661283,96.86922543703858,,0.792,85.78096059921872,104.10216820666284,97.92633885838978,289,711,0.289,"FIP:0.34,피안타:0.66"
강상수,1999,7.69,3.73,,119.99010600924609,173.38445706136193,174.99211901127717,,0.876,123.36242410763563,117.80345373456133,119.67730687305551,256,744,0.256,"FIP:0.34,피안타:0.66"
강상수,2000,8.37,2.79,,140.70489578609204,245.32124404963625,199.22932997164352,,0.865,148.3114526438897,130.4842311084036,136.49354448533876,193,807,0.193,"FIP:0.34,피안타:0.66"
강상수,2001,6.27,4.85,,93.7406772084068,98.67665034480294,99.12435581588815,,0.865,94.2204128273421,105.90795453828694,101.96824354029077,320,680,0.32,"FIP:0.34,피안타:0.66"
강상수,2002,5.4,5.89,,76.32588302630377,86.43762665282175,78.53624977955305,,0.85,81.60594821997816,85.43983892762168,84.14748662980067,332,668,0.332,"FIP:0.34,피안타:0.66"
강상수,2003,7.83,4.83,,62.070540818709496,71.82212130990982,74.4236003237947,,0.816,67.16947368551985,96.67526703380877,86.72926628927252,347,653,0.347,"FIP:0.34,피안타:0.66"
강상수,2004,4.37,5.14,,70.66258272617827,92.57968567057169,101.95820602431093,,0.812,79.72791852437004,84.21844613582013,82.70475048833694,342,658,0.342,"FIP:0.34,피안타:0.66"
강상수,2005,5.26,6.8,,57.50077987847512,44.622882154310744,49.172332740791205,,0.814,65.6174816480332,85.20084627231957,78.59956099811858,352,648,0.352,"FIP:0.34,피안타:0.66"
강상수,2006,6.97,3.8,,67.01116435439812,37.61779372803029,41.93683473292876,,0.762,80.17108953970936,67.17426105040984,71.55531477451447,336,664,0.336,"FIP:0.34,피안타:0.66"
강상진,1986,3.65,4.46,,63.68683719094444,51.734044376541235,53.43232170171277,,0.697,73.34360431510045,91.83237299417767,85.60006109268038,326,674,0.326,"FIP:0.34,피안타:0.66"
강상진,1987,2.6,6.4,,69.47259213864301,51.36492548663211,54.824518567500085,,0.734,74.86182736241494,87.29524250784492,83.10410774207708,337,663,0.337,"FIP:0.34,피안타:0.66"
강승현,2014,5.19,3.46,,49.455698799861096,17.232809999209255,15.78224075906096,,0.897,59.379282452704224,53.944031780863945,55.77618069449413,399,601,0.399,"FIP:0.34,피안타:0.66"
강승현,2016,7.78,5.56,,59.76110407326105,43.82595302485281,47.921281788009416,,0.881,72.72501154734384,74.99982581192856,74.23301693130738,374,626,0.374,"FIP:0.34,피안타:0.66"
강승현,2017,9.45,3.54,,105.73907837685641,75.3736774122889,78.67556729656202,,0.888,118.90427640145442,98.16613573176569,105.15668027013118,297,703,0.297,"FIP:0.34,피안타:0.66"
강영식,2000,7.42,5.08,,76.78886931718284,60.66440066043283,61.63427993254145,,0.865,83.41525118210738,94.40326655146798,90.69935634798334,348,652,0.348,"FIP:0.34,피안타:0.66"
강영식,2002,8.34,4.36,,101.67348124334269,112.88201566196753,113.20282597804636,,0.85,100.59977106270215,106.76703437680678,104.68813397952621,267,733,0.267,"FIP:0.34,피안타:0.66"
강영식,2003,8.53,5.33,,111.47247930607539,92.72749557909744,101.89902777716364,,0.816,121.74282140222616,104.94664556363662,110.60840749032147,250,750,0.25,"FIP:0.34,피안타:0.66"
강영식,2004,9.62,4.81,,98.64788805732022,59.36623050973249,65.38015675205588,,0.812,117.6448987254414,93.73969917033342,101.79781608882595,302,698,0.302,"FIP:0.34,피안타:0.66"
강영식,2005,10.67,7.79,,72.19718985991963,77.7502264911758,80.92656560956301,,0.814,81.00351137917083,112.48872305133574,101.87548737125212,274,726,0.274,"FIP:0.34,피안타:0.66"
강영식,2006,10.16,6.68,,93.45485358327292,68.26966436362123,64.11266159612804,,0.762,105.70653010204713,123.5010947649079,117.50278957458923,248,752,0.248,"FIP:0.34,피안타:0.66"
강영식,2007,10.03,3.34,,93.1772076209439,88.41793463167461,97.2732821982603,,0.777,106.48999994112246,118.50635506985834,114.4558055507772,240,760,0.24,"FIP:0.34,피안타:0.66"
강영식,2008,6.58,2.09,,99.16201633338933,129.98936502080747,122.3218454995299,,0.784,108.75361846402664,139.8832009702937,129.38984303445667,227,773,0.227,"FIP:0.34,피안타:0.66"
강영식,2009,5.8,5.24,,85.4063985216426,90.69368759512439,91.83641086772751,,0.877,93.14038193523865,94.89586429630816,94.30411512135402,328,672,0.328,"FIP:0.34,피안타:0.66"
강영식,2010,10.0,4.14,,118.0321668857521,95.49708885469457,97.23809531335526,,0.837,127.23888539870975,100.27587350570695,109.36473728229466,274,726,0.274,"FIP:0.34,피안타:0.66"
강영식,2011,8.56,4.83,,81.8708545091688,106.15959217261965,117.59741636948584,,0.815,90.60029210365761,107.32631748816637,101.688202323332,324,676,0.324,"FIP:0.34,피안타:0.66"
강영식,2012,10.7,4.15,,132.23819107321452,88.33606221137424,90.89949523080932,,0.751,146.76266709603468,94.71457176882947,112.25927523656716,256,744,0.256,"FIP:0.34,피안타:0.66"
강영식,2013,9.18,4.36,,118.15196236817353,100.6400478540446,109.20863088641815,,0.825,131.08588008080534,115.14451246978872,120.51813019484108,242,758,0.242,"FIP:0.34,피안타:0.66"
강영식,2014,8.04,4.6,,101.18387500811158,102.02099527778313,110.94526299768323,,0.897,108.74548672679133,104.79231916185115,106.12487806240522,287,713,0.287,"FIP:0.34,피안타:0.66"
강영식,2015,10.84,2.36,,106.87991364758565,102.92379894268228,96.53421844809091,,0.877,120.87949452015089,98.35190613805264,105.94564910832761,268,732,0.268,"FIP:0.34,피안타:0.66"
강영식,2016,8.84,7.23,,65.44670121266401,79.48015912353125,76.06137899141457,,0.881,78.98437097613913,96.99476964509756,90.92370975335452,345,655,0.345,"FIP:0.34,피안타:0.66"
강장산,2015,3.21,5.36,,63.92836242074712,73.73433658288705,75.91905693483577,,0.877,75.41250406037702,99.69468110939837,91.50949021628405,316,684,0.316,"FIP:0.34,피안타:0.66"
강장산,2017,5.52,5.17,,69.58651964727451,78.71515030065287,80.42686346857748,,0.888,80.41619701371118,102.31493556264726,94.9331692992855,326,674,0.326,"FIP:0.34,피안타:0.66"
강장산,2017,5.52,5.17,,69.58651964727451,78.71515030065287,80.42686346857748,,0.888,80.41619701371118,102.31493556264726,94.9331692992855,323,677,0.323,"FIP:0.34,피안타:0.66"
강재민,2020,10.47,3.31,,140.4109664549883,166.09398120733422,159.34446958296684,,0.833,156.07098728275292,115.32322307247873,129.0587389553986,209,791,0.209,"FIP:0.34,피안타:0.66"
강재민,2021,7.84,3.71,,123.20127804718447,192.28660543227576,198.58389204945166,,0.811,133.17711169085766,112.48600419834037,119.4606944937901,242,758,0.242,"FIP:0.34,피안타:0.66"
강재민,2022,6.87,5.11,,73.40059698425765,88.23608657317882,91.24253630648812,,0.798,80.40751750667725,106.2995677768286,97.57171056503702,306,694,0.306,"FIP:0.34,피안타:0.66"
강재민,2023,8.77,3.97,,76.21721310221247,57.806261723127065,64.71564921902747,,0.772,84.81199701540885,114.21376066756133,104.30282691556494,276,724,0.276,"FIP:0.34,피안타:0.66"
강지광,2019,4.98,3.65,,105.93949431391553,91.2771427703897,86.36405554019233,,0.785,122.48871865736253,108.15770200846474,112.98849237486459,243,757,0.243,"FIP:0.34,피안타:0.66"
강철민,2002,5.36,2.56,,97.22765512165222,73.06983652687529,77.43106905592336,,0.85,99.27069526472313,80.52294227254846,86.84255425577834,337,663,0.337,"FIP:0.34,피안타:0.66"
강철민,2003,4.4,4.4,,72.90828680556706,87.62872413305298,87.39619566062275,,0.816,72.83622124771723,105.43208469991463,94.44446344406529,303,697,0.303,"FIP:0.34,피안타:0.66"
강철민,2004,5.33,3.78,,103.54244355560607,88.35674825680893,89.04019096064648,,0.812,94.61796818079834,90.90495214361296,92.15655923766394,325,675,0.325,"FIP:0.34,피안타:0.66"
강철민,2005,6.64,5.08,,76.8818104205959,91.5959705405647,93.18558009675947,,0.814,75.60786691818242,90.42504785562865,85.43037813445964,332,668,0.332,"FIP:0.34,피안타:0.66"
강철민,2006,4.95,5.57,,74.44165017062713,123.45519491315946,130.41065814546067,,0.762,78.21239126406388,99.24997070198054,92.15848943649226,325,675,0.325,"FIP:0.34,피안타:0.66"
